item,name,positionItem,position,start,end
Q112175181,Gen. Melanio Ebendeng Nsomo,Q112174456,National Defence,2003,
Q112163019,Vicente Eya Olomo,Q112174456,National Defence,2012,
Q112163019,Vicente Eya Olomo,Q112174456,National Defence,2013,
Q112175184,Heriberto Meco Mbengono,Q112174457,National Security,2018,
Q112175184,Heriberto Meco Mbengono,Q112174457,National Security,2020,
Q112175174,Fortunato Osa Mbo,Q112174458,Delegate of Planning and Economic Development,1998,
Q112175146,Buenaventura Monsuy Asumu,Q112174458,Planning and Economic Development,2003,
Q112128545,Fortunato Ofa Mbo Nchama,Q112174458,"Planning, Economic Development and Public Investment",2012,
Q112128551,Alfonso Nsue Mokuy,Q112174459,"Press, Radio and Television",2003,
Q112175149,Caridad Besari Borilo,Q112174460,Public Service and Administrative Coordination,2003,
Q112175142,Baltasar Esono Eworo Nfono,Q112174460,Public Administration and Administrative Reform,2013,
Q112133445,Reginaldo Asu Mangue,Q112174461,Public Works and Infrastructures,2013,
Q112175235,Reinaldo Asu Mangue,Q112174461,"Public Works, Housing and Urbanism",2018,
Q112133252,Juan-Antonio Bibang Nchuchuma,Q112174467,"to the Presidency of te Republic, in charge of External Security",2013,
Q112175186,Hilario Sisa Torrez,Q112174462,Tourism and Culture,2003,
Q112175131,Alberto Doria Lajay,Q112174463,Trade and the Promotion of Small and Medium-sized Businesses,2020,
Q112175179,Francisco Obá Bahamonde,Q112174464,Posts and Transports,2011,
Q112175192,Joaquin Elema Borengue,Q112174464,"Transport, Technology, Posts and Telecommunications",2013,
Q112175192,Joaquin Elema Borengue,Q112174464,"Transports, Posts and Telecommunications",2018,
Q112162989,Jeremias Ondo Ngomo,Q112174464,Delegate to Transports and Communications,2001,
Q112175134,Angel Eyene Avini,Q112174465,University Education and Science,2003,
Q112133417,Jeronimo Osa Osa Ekoro,Q112174466,Youth and Sports,2003,
Q112128527,Carlos Eyi Obama,Q112174437,"Delegate to Agriculture, Livestock and Rural Development",1999,
Q112128551,Alfonso Nsue Mokuy,Q112174468,In charge of Human Rights,2018,
Q112128551,Alfonso Nsue Mokuy,Q112174468,In charge of Human Rights,2020,
Q112128517,Demetrio Elo Ndong Nsefumu,Q112162686,"Vice-Prime Minister Second, in charge of the Political Secor and Democr",2011,
,Alfredo Mokudi Nanga,Q111021197,"Agriculture, Fisheries and Food",1994,
Q112133282,Vidal Djoni Becoba,Q111021197,Agriculture,1996,
Q112175159,Constantino Ekong Nsue,Q111021197,"Agriculture, Fisheries and Animal Husbandry",1998,
,Gregorio Boho Camo,Q111021197,"Agriculture, Livestock and Rural Development",2001,
Q477201,Teodoro Nguema Obiang Mangue,Q111021197,Agriculture and Forests,2004,
Q112175245,Teodoro Nguema Obiang Mange,Q111021197,Agriculture and Forestry,2006,
Q477201,Teodoro Nguema Obiang Mangue,Q111021197,Agriculture and Forests,2008,
Q108426370,Miguel Oyono Ndong Mifumu,Q111021197,Agriculture and Forests,2012,
,Alfredo Mitogo Mitogo,Q111021197,Agriculture and Forests,2013,
Q112163009,Nicolas Houtonji Acapo,Q111021197,"Agriculture, Livestock, Forests and Environment",2018,
,Nicolás Houtonji Acapo,Q111021197,"Agriculture, Livestock, Forests and the Environment",2020,
Q112175202,Leandro Micó Angué,Q112162668,Civil Aviation,2018,
Q112175227,Norborto-Bartolomé Mensuy Mañe Andeme,Q112162668,Civil Aviation,2020,
Q112175171,Fernando Mabale Mba,Q112174469,Civil Service and Administrative Reforms,1998,
Q112175171,Fernando Mabale Mba,Q112174469,Civil Service and Administrative Reforms,1999,
Q57898,Ignacio Milam Tang,Q112174469,First Deputy PM and Minister of Civil Service and Administrative Reform,2001,
Q5057941,Celestino Bonifacio Bakale Obiang,Q112162696,Commerce and Business Promotion,2013,
Q58151,Pastor Micha Ondo Bile,Q112162696,Commerce and Promotion of Small and Medium-sized Businesses,2018,
Q36908601,Agustín Nse Nfumu,Q112162672,"Culture, Tourism and French Community Affairs",1994,
Q112133443,Pedro Cristino Bueriberi,Q112162672,Culture,1996,
Q112163013,Rufino Ndong Esono Nchama,Q112162672,"Culture, Tourism and Craft Promotion",2018,
Q112163013,Rufino Ndong Esono Nchama,Q112162672,"Culture, Tourism and Craft Promotion",2020,
Q112128490,Marcelino Oyono Ntutumu,Q111021198,Economy and Finance,1996,
Q112162967,Baltasar Engonga Edjo,Q111021198,Economic Affairs and Finance,1998,
Q1353126,Miguel Abia Biteo,Q111021198,Economy and Finance,1999,
Q112175143,Baltazar Engonga Edjo,Q111021198,Economy and Finance,2001,
Q112162967,Baltasar Engonga Edjo,Q111021198,Economy and Finance,2003,
Q112175135,Aniceto Ebiaca Moete,Q111021198,"Vice-Prime Minister First, in charge of Economy and Finance",2010,
Q112175135,Aniceto Ebiaca Moete,Q111021198,"Vice-Prime Minister First, in charge of Economy and Finance",2011,
Q112175191,Jaime Ela Ndong / Oyana,Q111021198,"Economy, Commerce and Business Promotion",2006,
Q112133267,Pedro Ondó Nguema,Q111021198,"Economy, Commerce and Business Promotion",2008,
Q112133267,Pedro Ondó Nguema,Q111021198,"Economy, Commerce and Business Promotion",2010,
Q112175175,Francisca Tatchup Belope,Q111021198,"Economy, Commerce and Business Promotion",2011,
Q5057941,Celestino Bonifacio Bakale Obiang,Q111021198,"Economy, Commerce and Business Promotion",2012,
,Conrado Okenve Ndoho,Q111021198,"Economy, Planning and Public Investment",2013,
,Jaime Ela Ndong,Q111021198,"Economy, Trade and Business Development",2004,
Q602837,Ricardo Obama Nfubea,Q111021199,Education and Science,1994,
Q602837,Ricardo Obama Nfubea,Q111021199,Education,1996,
Q112128487,Santiago Ngua Nfumu,Q111021199,"Education, Science and Francophone Affairs",1998,
Q112128487,Santiago Ngua Nfumu,Q111021199,"Education, Science and Francophone Affairs",1999,
Q112128529,Antonio Fernando Nve Ngu,Q111021199,Education and Science,2001,
Q112175161,Cristobal Mañana Ela,Q111021199,"Education, Science and Sports",2004,
Q112175161,Cristobal Mañana Ela,Q111021199,"Education, Science and Sports",2006,
Q112133234,Anselmo Ondó Esono,Q111021199,"Education, Science and Sports",2008,
,Maria del Carmen Ekoro,Q111021199,Education and Sciences,2012,
Q112133418,Jesús Engonga Ndong,Q111021199,"Education, University and Sports",2018,
Q112175155,Clemente Engonga Nguema Onguene,Q111021199,"Deputy PM and Minister of Education, Universities and Sports",2020,
Q29122413,Marcelino Owono Edu,Q111021200,Finance and the Budget,2003,
Q29122413,Marcelino Owono,Q111021200,Finance and the Budget,2004,
Q29122413,Marcelino Owono Edu,Q111021200,Finance and the Budget,2006,
Q112162980,Estanislao Don Malavo,Q111021200,Finance and the Budget,2008,
Q112133263,Melchor Esono Edjo,Q111021200,Finance and the Budget,2010,
Q112133263,Melchor Esono Edjo,Q111021200,Finance and the Budget,2011,
Q29122413,Marcelino Owono Edu,Q111021200,Finance and the Budget,2012,
Q29122413,Marcelino Owono Edu,Q111021200,Finance and the Budget,2013,
,Lucas Abaga Nchama,Q111021200,"Finance, Economy and Planning",2018,
,César Augusto Mba Abogo,Q111021200,"Finance, the Economy and Planning",2020,
Q112128545,Fortunato Ofa Mbo Nchama,Q112162674,Fisheries and the Environment,2003,
Q112128545,Fortunato Ofa Mbo Nchama,Q112162674,Fishing and Environment,2004,
Q112133280,Vicente Rodriguez Siosa,Q112162674,Fisheries and the Environment,2006,
Q112133227,Anastasio Asumu Mum Muñoz,Q112162674,Fisheries and Environment,2008,
Q112133227,Anastasio Asumu Mum Muñoz,Q112162674,Fisheries and Environment,2010,
Q112133227,Anastasio Asumu Mum Muñoz,Q112162674,Fisheries and Environment,2011,
Q112175160,Cresencio Tamarite Castaño,Q112162674,Fisheries and Environment,2012,
Q112175160,Cresencio Tamarite Castaño,Q112162674,Fisheries and Environment,2013,
Q112133372,Adoración Salas Chonco,Q112162674,Fisheries and Water Resources,2018,
Q112133372,Adoración Salas Chonco,Q112162674,Fishing and Water Resources,2020,
,Feliciano Nse Mangue,Q111021196,Foreign Affairs and Cooperation,1994,
Q108426370,Miguel Oyono Ndong Mifumu,Q111021196,Foreign Affairs and Cooperation,1996,
Q108426370,Miguel Oyono Ndong Mifumu,Q111021196,"First Deputy PM, in charge of Foreign Affairs",1998,
Q17198388,Santiago Nsobeya Efuman Nchama,Q111021196,Foreign Affairs and International Cooperation,1999,
Q17198388,Santiago Nsobeya Efuman,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2001,
Q58151,Pastor Micha Ondo Bile,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2003,
Q58151,Pastor Micha Ondó Bilé,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2004,
Q58151,Pastor Micha Ondo Bile,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2006,
Q58151,Pastor Micha Ondo Bile,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2008,
Q58151,Pastor Micha Ondó Bile,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2010,
Q58151,Pastor Micha Ondó Bile,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2011,
Q24574730,Agapito Mba Mokuy,Q111021196,Foreign Affairs and Cooperation,2012,
Q24574730,Agapito Mba Mokuy,Q111021196,Foreign Affairs and Cooperation,2013,
Q55098190,Simeón Oyono Esono Angue,Q111021196,Foreign Affairs and Cooperation,2018,
Q55098190,Simeón Oyono Esono Angue,Q111021196,Foreign Affairs and Cooperation,2020,
Q477201,Teodoro Nguema Obiang Mangue,Q112162675,Forestry and Environment,1998,
,Bernabe Ngore,Q111020058,Health and the Environment,1994,
,Dario Ndong Olomo,Q111020058,Health,1996,
